@id	name	route	network
8077257	Jesus Goudy Ridge Trail #298	hiking	lwn
8077258	Grant Goudy Ridge Trail #310	hiking	lwn
8077259	Grant Creek Trail #305	hiking	lwn
8077260	Grant Hill Loop Trail #322	hiking	lwn
8077261	Big Creek Trail #320A	hiking	lwn
8077262	Shake Trail #309	hiking	lwn
8077263	Dutch Henry Canyon Trail #297	hiking	lwn
8077292	West Divide Trail #289	hiking	rwn
8077293	Powers Garden Trail #96	hiking	lwn
8077294	Corral Canyon Trail #291	hiking	lwn
8077295	Kennedy Peak Trail #287B	hiking	lwn
8077296	East Divide Trail #287	hiking	lwn
8077297	Bassett Peak Trail #287C	hiking	lwn
8077298	Fisher Canyon Trail #991	hiking	lwn
8077303	Tortilla Trail #254	hiking	lwn
8077309	Sycamore Trail #278	hiking	lwn
8077321	Mailbox Trail #276	hiking	lwn
8077339	Pipestem Trail #271	hiking	lwn
8077441	Field Canyon Trail #294	hiking	lwn
8077442	YLE Trail #288	hiking	lwn
8081347	Komo Point Trail	hiking	lwn
8081383	Francois Matthes Trail	hiking	lwn
8087468	Cape Solitude Trail	hiking	lwn
8090992	South Canyon Trail	hiking	lwn
8096218	Point Imperial Trail	hiking	lwn
8096503	Salt Trail	hiking	lwn
8098409	Jumpup-Nail Trail #8	hiking	lwn
8098538	Ranger Trail #41	hiking	lwn
8098847	Esplanade Route	hiking	lwn
8100184	Rainbow Rim Trail #10	mtb	lcn
8106946	Walhalla Glades Trail	hiking	lwn
8109385	Cottonwood Creek Trail	hiking	lwn
8109386	Hance Creek Trail	hiking	lwn
8136987	East Beryl Road	road	
8137580	North 27th Place	road	
8137581	East Cheryl Drive	road	
8137582	North 28th Street	road	
8137583	East Cheryl Drive	road	
8137652	North 26th Street	road	
8137653	East Beryl Avenue	road	
8138120	North 25th Street	road	
8138121	East Cheryl Drive	road	
8138122	North 25th Place	road	
8138124	North 26th Street	road	
8138125	East Brown Street	road	
8138126	North 25th Street	road	
8138365	East Brown Street	road	
8138366	North 27th Street	road	
8140321	North 24th Street	road	
8140322	East Brown Street	road	
8140540	North 24th Street	road	
8140541	East Beryl Avenue	road	
8140908	North 26th Street	road	
8140909	East Cinnabar Avenue	road	
8140910	East Cinnabar Avenue	road	
8141156	East Turquoise Drive	road	
8141157	North 24th Place	road	
8141158	East Mountain View Road	road	
8141221	North 25th Street	road	
8149313	North 26th Street	road	
8149413	North 26th Street	road	
8149414	East Turquoise Avenue	road	
